0,1,2,3,4
201,109,253,125,VINH
263,109,356,126,NGUYEN
366,109,409,126,RES
225,134,244,143,355
249,134,290,146,Su'Van
296,134,321,146,Hanh
331,125,358,155,"P.12,"
364,134,389,144,2.10
216,155,232,165,DT:
239,155,345,165,080.126.9955
317,144,322,174,-
324,155,399,165,090.126.9933
210,195,244,210,HOA
250,199,287,211,DON
293,198,350,211,THANH
356,195,402,210,TOAN
167,221,210,232,S6HB:
228,221,252,232,000:
167,238,200,252,Naay
206,241,217,249,in’
253,238,307,249,29/03/2019
391,237,440,249,3.59.00
167,251,204,278,Ban:
390,254,422,268,Ban
429,255,447,268,01
165,276,230,287,Thungan:
260,275,308,287,ADMIN
165,293,208,304,Khach
214,293,247,307,hang
179,319,200,329,TEN
204,319,236,329,HANG
295,320,309,329,SL
329,320,374,329,DonGia
399,319,435,330,T.TIEN
359,345,383,356,000
409,345,453,357,"$0,000"
0,0,512,574,
